Spider,Trial,PreyAvailable,TimeToFeed,TimeToFeedDays
Bold1,1,2,17.6,0.012222222
Bold1,1,1,29.7,0.020625
Bold1,2,10,23.5,0.016319444
Bold1,2,9,0.3167,0.000219931
Bold1,2,8,9.25,0.006423611
Bold1,2,7,15.53,0.010784722
Bold1,2,6,19.13,0.013284722
Bold1,2,5,19.15,0.013298611
Bold1,2,4,21.383,0.014849306
Bold1,3,7,9.85,0.006840278
Bold1,3,6,11.15,0.007743056
Bold1,3,5,21.6,0.015
Bold1,3,4,11.0167,0.007650486
Bold1,3,3,8.43,0.005854167
Bold1,3,2,14.35,0.009965278
Bold1,3,1,10.9167,0.007581042
Bold2,1,1,10.83,0.007520833
Bold2,2,2,11.5,0.007986111
Bold2,2,1,32.2167,0.022372708
Bold2,3,10,0.23,0.000159722
Bold2,3,9,5.3,0.003680556
Bold2,3,8,6.6167,0.004594931
Bold2,3,7,6.15,0.004270833
Bold2,3,6,6.7167,0.004664375
Bold2,3,5,9.0167,0.006261597
Bold2,3,4,8.1,0.005625
Bold2,3,3,10.83,0.007520833
Bold2,3,2,29.55,0.020520833
